1,"Braund Mr. Owen Harris",0,S
2,"Cumings Mrs. John Bradley (Florence Briggs Thayer)",1,C
3,"Heikkinen Miss. Laina",1,S
4,"Futrelle Mrs. Jacques Heath (Lily May Peel)",1,S
5,"Allen Mr. William Henry",0,S
6,"Moran Mr. James",0,Q
7,"McCarthy Mr. Timothy J",0,S
8,"Palsson Master. Gosta Leonard",0,S
9,"Johnson Mrs. Oscar W (Elisabeth Vilhelmina Berg)",1,S
10,"Nasser Mrs. Nicholas (Adele Achem)",1,C
11,"Sandstrom Miss. Marguerite Rut",1,S
12,"Bonnell Miss. Elizabeth",1,S
13,"Saundercock Mr. William Henry",0,S
14,"Andersson Mr. Anders Johan",0,S
15,"Vestrom Miss. Hulda Amanda Adolfina",0,S
16,"Hewlett Mrs. (Mary D Kingcome) ",1,S
17,"Rice Master. Eugene",0,Q
18,"Williams Mr. Charles Eugene",1,S
19,"Vander Planke Mrs. Julius (Emelia Maria Vandemoortele)",0,S
20,"Masselmani Mrs. Fatima",1,C
21,"Fynney Mr. Joseph J",0,S
22,"Beesley Mr. Lawrence",1,S
23,"McGowan Miss. Anna ""Annie""",1,Q
24,"Sloper Mr. William Thompson",1,S
25,"Palsson Miss. Torborg Danira",0,S
26,"Asplund Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",1,S
27,"Emir Mr. Farred Chehab",0,C
28,"Fortune Mr. Charles Alexander",0,S
29,"O'Dwyer Miss. Ellen ""Nellie""",1,Q
30,"Todoroff Mr. Lalio",0,S
31,"Uruchurtu Don. Manuel E",0,C
32,"Spencer Mrs. William Augustus (Marie Eugenie)",1,C
33,"Glynn Miss. Mary Agatha",1,Q
34,"Wheadon Mr. Edward H",0,S
35,"Meyer Mr. Edgar Joseph",0,C
36,"Holverson Mr. Alexander Oskar",0,S
37,"Mamee Mr. Hanna",1,C
38,"Cann Mr. Ernest Charles",0,S
39,"Vander Planke Miss. Augusta Maria",0,S
40,"Nicola-Yarred Miss. Jamila",1,C
41,"Ahlin Mrs. Johan (Johanna Persdotter Larsson)",0,S
42,"Turpin Mrs. William John Robert (Dorothy Ann Wonnacott)",0,S
43,"Kraeff Mr. Theodor",0,C
44,"Laroche Miss. Simonne Marie Anne Andree",1,C
45,"Devaney Miss. Margaret Delia",1,Q
46,"Rogers Mr. William John",0,S
47,"Lennon Mr. Denis",0,Q
48,"O'Driscoll Miss. Bridget",1,Q
49,"Samaan Mr. Youssef",0,C
50,"Arnold-Franchi Mrs. Josef (Josefine Franchi)",0,S
51,"Panula Master. Juha Niilo",0,S
52,"Nosworthy Mr. Richard Cater",0,S
53,"Harper Mrs. Henry Sleeper (Myna Haxtun)",1,C
54,"Faunthorpe Mrs. Lizzie (Elizabeth Anne Wilkinson)",1,S
55,"Ostby Mr. Engelhart Cornelius",0,C
56,"Woolner Mr. Hugh",1,S
57,"Rugg Miss. Emily",1,S
58,"Novel Mr. Mansouer",0,C
59,"West Miss. Constance Mirium",1,S
60,"Goodwin Master. William Frederick",0,S
61,"Sirayanian Mr. Orsen",0,C
62,"Icard Miss. Amelie",1,
63,"Harris Mr. Henry Birkhardt",0,S
64,"Skoog Master. Harald",0,S
65,"Stewart Mr. Albert A",0,C
66,"Moubarek Master. Gerios",1,C
67,"Nye Mrs. (Elizabeth Ramell)",1,S
68,"Crease Mr. Ernest James",0,S
69,"Andersson Miss. Erna Alexandra",1,S
70,"Kink Mr. Vincenz",0,S
71,"Jenkin Mr. Stephen Curnow",0,S
72,"Goodwin Miss. Lillian Amy",0,S
73,"Hood Mr. Ambrose Jr",0,S
74,"Chronopoulos Mr. Apostolos",0,C
75,"Bing Mr. Lee",1,S
76,"Moen Mr. Sigurd Hansen",0,S
77,"Staneff Mr. Ivan",0,S
78,"Moutal Mr. Rahamin Haim",0,S
79,"Caldwell Master. Alden Gates",1,S
80,"Dowdell Miss. Elizabeth",1,S
81,"Waelens Mr. Achille",0,S
82,"Sheerlinck Mr. Jan Baptist",1,S
83,"McDermott Miss. Brigdet Delia",1,Q
84,"Carrau Mr. Francisco M",0,S
85,"Ilett Miss. Bertha",1,S
86,"Backstrom Mrs. Karl Alfred (Maria Mathilda Gustafsson)",1,S
87,"Ford Mr. William Neal",0,S
88,"Slocovski Mr. Selman Francis",0,S
89,"Fortune Miss. Mabel Helen",1,S
90,"Celotti Mr. Francesco",0,S
91,"Christmann Mr. Emil",0,S
92,"Andreasson Mr. Paul Edvin",0,S
93,"Chaffee Mr. Herbert Fuller",0,S
94,"Dean Mr. Bertram Frank",0,S
95,"Coxon Mr. Daniel",0,S
96,"Shorney Mr. Charles Joseph",0,S
97,"Goldschmidt Mr. George B",0,C
98,"Greenfield Mr. William Bertram",1,C
99,"Doling Mrs. John T (Ada Julia Bone)",1,S
100,"Kantor Mr. Sinai",0,S
101,"Petranec Miss. Matilda",0,S
102,"Petroff Mr. Pastcho (""Pentcho"")",0,S
103,"White Mr. Richard Frasar",0,S
104,"Johansson Mr. Gustaf Joel",0,S
105,"Gustafsson Mr. Anders Vilhelm",0,S
106,"Mionoff Mr. Stoytcho",0,S
107,"Salkjelsvik Miss. Anna Kristine",1,S
108,"Moss Mr. Albert Johan",1,S
109,"Rekic Mr. Tido",0,S
110,"Moran Miss. Bertha",1,Q
111,"Porter Mr. Walter Chamberlain",0,S
112,"Zabour Miss. Hileni",0,C
113,"Barton Mr. David John",0,S
114,"Jussila Miss. Katriina",0,S
115,"Attalah Miss. Malake",0,C
116,"Pekoniemi Mr. Edvard",0,S
117,"Connors Mr. Patrick",0,Q
118,"Turpin Mr. William John Robert",0,S
119,"Baxter Mr. Quigg Edmond",0,C
120,"Andersson Miss. Ellis Anna Maria",0,S
121,"Hickman Mr. Stanley George",0,S
122,"Moore Mr. Leonard Charles",0,S
123,"Nasser Mr. Nicholas",0,C
124,"Webber Miss. Susan",1,S
125,"White Mr. Percival Wayland",0,S
126,"Nicola-Yarred Master. Elias",1,C
127,"McMahon Mr. Martin",0,Q
128,"Madsen Mr. Fridtjof Arne",1,S
129,"Peter Miss. Anna",1,C
130,"Ekstrom Mr. Johan",0,S
131,"Drazenoic Mr. Jozef",0,C
132,"Coelho Mr. Domingos Fernandeo",0,S
133,"Robins Mrs. Alexander A (Grace Charity Laury)",0,S
134,"Weisz Mrs. Leopold (Mathilde Francoise Pede)",1,S
135,"Sobey Mr. Samuel James Hayden",0,S
136,"Richard Mr. Emile",0,C
137,"Newsom Miss. Helen Monypeny",1,S
138,"Futrelle Mr. Jacques Heath",0,S
139,"Osen Mr. Olaf Elon",0,S
140,"Giglio Mr. Victor",0,C
141,"Boulos Mrs. Joseph (Sultana)",0,C
142,"Nysten Miss. Anna Sofia",1,S
143,"Hakkarainen Mrs. Pekka Pietari (Elin Matilda Dolck)",1,S
144,"Burke Mr. Jeremiah",0,Q
145,"Andrew Mr. Edgardo Samuel",0,S
146,"Nicholls Mr. Joseph Charles",0,S
147,"Andersson Mr. August Edvard (""Wennerstrom"")",1,S
148,"Ford Miss. Robina Maggie ""Ruby""",0,S
149,"Navratil Mr. Michel (""Louis M Hoffman"")",0,S
150,"Byles Rev. Thomas Roussel Davids",0,S
151,"Bateman Rev. Robert James",0,S
152,"Pears Mrs. Thomas (Edith Wearne)",1,S
153,"Meo Mr. Alfonzo",0,S
154,"van Billiard Mr. Austin Blyler",0,S
155,"Olsen Mr. Ole Martin",0,S
156,"Williams Mr. Charles Duane",0,C
157,"Gilnagh Miss. Katherine ""Katie""",1,Q
158,"Corn Mr. Harry",0,S
159,"Smiljanic Mr. Mile",0,S
160,"Sage Master. Thomas Henry",0,S
161,"Cribb Mr. John Hatfield",0,S
162,"Watt Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",1,S
163,"Bengtsson Mr. John Viktor",0,S
164,"Calic Mr. Jovo",0,S
165,"Panula Master. Eino Viljami",0,S
166,"Goldsmith Master. Frank John William ""Frankie""",1,S
167,"Chibnall Mrs. (Edith Martha Bowerman)",1,S
168,"Skoog Mrs. William (Anna Bernhardina Karlsson)",0,S
169,"Baumann Mr. John D",0,S
170,"Ling Mr. Lee",0,S
171,"Van der hoef Mr. Wyckoff",0,S
172,"Rice Master. Arthur",0,Q
173,"Johnson Miss. Eleanor Ileen",1,S
174,"Sivola Mr. Antti Wilhelm",0,S
175,"Smith Mr. James Clinch",0,C
176,"Klasen Mr. Klas Albin",0,S
177,"Lefebre Master. Henry Forbes",0,S
178,"Isham Miss. Ann Elizabeth",0,C
179,"Hale Mr. Reginald",0,S
180,"Leonard Mr. Lionel",0,S
181,"Sage Miss. Constance Gladys",0,S
182,"Pernot Mr. Rene",0,C
183,"Asplund Master. Clarence Gustaf Hugo",0,S
184,"Becker Master. Richard F",1,S
185,"Kink-Heilmann Miss. Luise Gretchen",1,S
186,"Rood Mr. Hugh Roscoe",0,S
187,"O'Brien Mrs. Thomas (Johanna ""Hannah"" Godfrey)",1,Q
188,"Romaine Mr. Charles Hallace (""Mr C Rolmane"")",1,S
189,"Bourke Mr. John",0,Q
190,"Turcin Mr. Stjepan",0,S
191,"Pinsky Mrs. (Rosa)",1,S
192,"Carbines Mr. William",0,S
193,"Andersen-Jensen Miss. Carla Christine Nielsine",1,S
194,"Navratil Master. Michel M",1,S
195,"Brown Mrs. James Joseph (Margaret Tobin)",1,C
196,"Lurette Miss. Elise",1,C
197,"Mernagh Mr. Robert",0,Q
198,"Olsen Mr. Karl Siegwart Andreas",0,S
199,"Madigan Miss. Margaret ""Maggie""",1,Q
200,"Yrois Miss. Henriette (""Mrs Harbeck"")",0,S
201,"Vande Walle Mr. Nestor Cyriel",0,S
202,"Sage Mr. Frederick",0,S
203,"Johanson Mr. Jakob Alfred",0,S
204,"Youseff Mr. Gerious",0,C
205,"Cohen Mr. Gurshon ""Gus""",1,S
206,"Strom Miss. Telma Matilda",0,S
207,"Backstrom Mr. Karl Alfred",0,S
208,"Albimona Mr. Nassef Cassem",1,C
209,"Carr Miss. Helen ""Ellen""",1,Q
210,"Blank Mr. Henry",1,C
211,"Ali Mr. Ahmed",0,S
212,"Cameron Miss. Clear Annie",1,S
213,"Perkin Mr. John Henry",0,S
214,"Givard Mr. Hans Kristensen",0,S
215,"Kiernan Mr. Philip",0,Q
216,"Newell Miss. Madeleine",1,C
217,"Honkanen Miss. Eliina",1,S
218,"Jacobsohn Mr. Sidney Samuel",0,S
219,"Bazzani Miss. Albina",1,C
220,"Harris Mr. Walter",0,S
221,"Sunderland Mr. Victor Francis",1,S
222,"Bracken Mr. James H",0,S
